Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
ATP9A	O75110	Probable phospholipid-transporting ATPase IIA	118.6	1047	675	6	Endosome	Very High	92		0%	100%	Mostly Organellar	24,151	30.3	14.9	8.9
BECN1	Q14457	Beclin-1	51.9	450	255	6	Endosome	Very High	91.5		75%	25%	Organellar and Cytosolic	57,480	43.7	35.6	9.3
BLOC1S1	P78537	Biogenesis of lysosome-related organelles complex 1 subunit 1	17.3	153	208	5	Endosome	Very High	99.8		62%	38%	Organellar and Cytosolic	136,951	58.1	84.7	7.3
BLOC1S2	Q6QNY1	Biogenesis of lysosome-related organelles complex 1 subunit 2	16.0	142	362	6	Endosome	Very High	92.9		70%	30%	Organellar and Cytosolic	232,333	66.6	143.7	11.5
C10orf32	Q96B45	UPF0693 protein C10orf32	11.6	105	162	6	Endosome	Very High	91.4		59%	41%	Organellar and Cytosolic	179,088	62.4	110.8	6.4
C17orf59	Q96GS4	Uncharacterized protein C17orf59	37.2	357	367	6	Endosome	Very High	59.9		33%	67%	Organellar and Cytosolic	51,204	41.8	31.7	5.9
CLCN3	P51790	H(+)/Cl(-) exchange transporter 3	91.0	818	329	6	Endosome	Very High	73.9		0%	100%	Mostly Organellar	17,756	25.9	11.0	5.0
DAGLB	Q8NCG7	Sn1-specific diacylglycerol lipase beta	73.7	672	861	6	Endosome	Very High	86.5		40%	60%	Organellar and Cytosolic	88,004	51.1	54.4	20.2
DNAJC13	O75165	DnaJ homolog subfamily C member 13	254.4	2243	4212	6	Endosome	Very High	70.8		34%	66%	Organellar and Cytosolic	106,611	54.4	66.0	84.3
ECE1	P42892	Endothelin-converting enzyme 1	87.2	770	1088	6	Endosome	Very High	99.3		0%	100%	Mostly Organellar	80,424	49.4	49.8	21.8
FAM21A	Q641Q2	WASH complex subunit FAM21A	147.2	1341	1173	6	Endosome	Very High	94.7		81%	19%	Organellar and Cytosolic	121,104	56.3	74.9	55.4
FKBP15	Q5T1M5	FK506-binding protein 15	133.6	1219	1112	6	Endosome	Very High	83.1		83%	17%	Organellar and Cytosolic	130,545	57.4	80.8	54.2
FRYL	O94915	Protein furry homolog-like	339.6	3013	879	6	Endosome	Very High	76.3		80%	20%	Organellar and Cytosolic	28,351	32.7	17.5	29.9
GABARAPL2	P60520	Gamma-aminobutyric acid receptor-associated protein-like 2	13.7	117	183	6	Endosome	Very High	54.2		81%	19%	Organellar and Cytosolic	172,736	61.8	106.9	7.3
HFE	Q30201	Hereditary hemochromatosis protein	40.1	348	264	6	Endosome	Very High	94		0%	100%	Mostly Organellar	17,287	25.5	10.7	2.2
HGS	O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate	86.2	777	1502	6	Endosome	Very High	94.8		78%	22%	Organellar and Cytosolic	333,299	72.2	206.2	89.3
IGF2R	P11717	Cation-independent mannose-6-phosphate receptor	274.4	2491	8818	6	Endosome	Very High	95.2		8%	92%	Mostly Organellar	312,736	71.3	193.5	266.8
IST1	P53990-2	IST1 homolog	36.6	335	826	6	Endosome	Very High	92.3		73%	27%	Broad distribution	725,361	82.5	448.7	82.6
ITFG1	Q8TB96	T-cell immunomodulatory protein	68.1	612	293	6	Endosome	Very High	79.4		1%	99%	Mostly Organellar	21,673	28.7	13.4	4.6
KIAA0196	Q12768	WASH complex subunit strumpellin	134.3	1159	1178	6	Endosome	Very High	99.8		84%	16%	Broad distribution	158,197	60.4	97.9	66.0
KIAA1033	Q2M389	WASH complex subunit 7	136.4	1173	1031	6	Endosome	Very High	99.7		82%	18%	Organellar and Cytosolic	107,917	54.6	66.8	45.8
KMT2C	Q8NEZ4	Histone-lysine N-methyltransferase 2C	541.4	4911	314	6	Endosome	Very High	73		9%	91%	Mostly Organellar	41,984	38.6	26.0	70.7
LNPEP	Q9UIQ6	Leucyl-cystinyl aminopeptidase	117.4	1025	1915	6	Endosome	Very High	96.5		1%	99%	Mostly Organellar	85,588	50.6	52.9	31.2
LOH12CR1	Q969J3	Loss of heterozygosity 12 chromosomal region 1 protein	22.2	196	385	6	Endosome	Very High	96.6		38%	62%	Organellar and Cytosolic	98,413	52.9	60.9	6.8
MAP1LC3B	Q9GZQ8	Microtubule-associated proteins 1A/1B light chain 3B	14.7	125	129	4	Endosome	Very High	72.3		36%	64%	Organellar and Cytosolic	47,341	40.5	29.3	2.2
MRC2	Q9UBG0	C-type mannose receptor 2	166.7	1479	1263	6	Endosome	Very High	63		0%	100%	Mostly Organellar	30,913	34.1	19.1	16.0
NAGLT1	Q5TF39	Sodium-dependent glucose transporter 1	56.2	518	185	5	Endosome	Very High	55.8		0%	100%	Mostly Organellar	8,417	16.8	5.2	1.5
NBR1	Q14596	Next to BRCA1 gene 1 protein	107.4	966	164	6	Endosome	Very High	59.7		50%	50%	Organellar and Cytosolic	8,663	17.1	5.4	2.9
PDDC1	Q8NB37	Parkinson disease 7 domain-containing protein 1	23.3	220	215	5	Endosome	Very High	86		67%	33%	Organellar and Cytosolic	74,306	48.1	46.0	5.4
PIK3R4	Q99570	Phosphoinositide 3-kinase regulatory subunit 4	153.1	1358	1842	6	Endosome	Very High	68.5		50%	50%	Organellar and Cytosolic	99,447	53.3	61.5	47.3
PLD1	Q13393	Phospholipase D1	124.2	1074	677	6	Endosome	Very High	66		5%	95%	Mostly Organellar	31,897	34.5	19.7	12.3
PPP1R21	Q6ZMI0	Protein phosphatase 1 regulatory subunit 21	88.3	780	295	6	Endosome	Very High	75.2		10%	90%	Mostly Organellar	13,405	22.3	8.3	3.7
PSEN2	P49810	Presenilin-2	50.1	448	233	6	Endosome	Very High	79.3		0%	100%	Mostly Organellar	13,630	22.4	8.4	2.1
RAB11FIP5	Q9BXF6	Rab11 family-interacting protein 5	70.4	653	672	6	Endosome	Very High	59.5		1%	99%	Mostly Organellar	37,272	36.9	23.1	8.2
RAB17	Q9H0T7	Ras-related protein Rab-17	23.5	212	155	5	Endosome	Very High	85.4		0%	100%	Mostly Organellar	37,447	36.9	23.2	2.7
RAB4A	P20338	Ras-related protein Rab-4A	24.4	218	927	6	Endosome	Very High	99.6		34%	66%	Organellar and Cytosolic	932,267	85.1	576.7	70.7
SEZ6L2	Q6UXD5-6	Seizure 6-like protein 2	86.9	809	135	6	Endosome	Very High	74.5		0%	100%	Mostly Organellar	5,403	12.3	3.3	1.5
SFT2D2	O95562	Vesicle transport protein SFT2B	17.8	160	194	6	Endosome	Very High	68.4		4%	96%	Mostly Organellar	116,616	55.8	72.1	6.4
SLC11A2	P49281-3	Natural resistance-associated macrophage protein 2	64.7	590	237	6	Endosome	Very High	93.4		0%	100%	Mostly Organellar	22,019	29.0	13.6	4.4
SLC12A3	P55017	Solute carrier family 12 member 3	113.1	1021	343	6	Endosome	Very High	76		0%	100%	Mostly Organellar	14,539	23.3	9.0	5.1
SLC12A9	Q9BXP2	Solute carrier family 12 member 9	96.1	914	137	6	Endosome	Very High	67.7		0%	100%	Mostly Organellar	3,694	9.1	2.3	1.1
SLC9A6	Q92581-2	Sodium/hydrogen exchanger 6	77.9	701	172	6	Endosome	Very High	69.4		0%	100%	Mostly Organellar	5,915	13.2	3.7	1.4
SNAPIN	O95295	SNARE-associated protein Snapin	14.9	136	387	5	Endosome	Very High	97.9		67%	33%	Organellar and Cytosolic	375,526	73.9	232.3	17.4
SND1	Q7KZF4	Staphylococcal nuclease domain-containing protein 1	102.0	910	9130	6	Endosome	Very High	85.3		7%	93%	Mostly Organellar	2,956,189	93.9	1828.8	937.4
SNX12	Q9UMY4	Sorting nexin-12	19.7	172	653	6	Endosome	Very High	76.9		48%	52%	Organellar and Cytosolic	366,726	73.5	226.9	22.5
SNX2	O60749	Sorting nexin-2	58.5	519	2664	6	Endosome	Very High	83.8		72%	28%	Organellar and Cytosolic	1,294,191	88.1	800.6	235.2
SNX3	O60493	Sorting nexin-3	18.8	162	1653	6	Endosome	Very High	73.5		38%	62%	Organellar and Cytosolic	1,816,578	90.8	1123.8	106.0
SNX4	O95219	Sorting nexin-4	51.9	450	461	6	Endosome	Very High	78.5		18%	82%	Organellar and Cytosolic	31,366	34.3	19.4	5.1
SNX5	Q9Y5X3	Sorting nexin-5	46.8	404	1685	6	Endosome	Very High	90.1		78%	22%	Organellar and Cytosolic	942,412	85.2	583.0	137.2
SNX8	Q9Y5X2	Sorting nexin-8	52.6	465	640	6	Endosome	Very High	94.5		29%	71%	Organellar and Cytosolic	83,839	50.2	51.9	13.7
SORT1	Q99523	Sortilin	92.1	831	595	6	Endosome	Very High	96.2		1%	99%	Mostly Organellar	22,245	29.2	13.8	6.4
STAM	Q92783	Signal transducing adapter molecule 1	59.2	540	1009	6	Endosome	Very High	95.4		85%	15%	Mostly Cytosolic	501,812	77.7	310.4	92.3
STAM2	O75886	Signal transducing adapter molecule 2	58.2	525	297	5	Endosome	Very High	90.4		81%	19%	Organellar and Cytosolic	82,106	49.8	50.8	14.8
STX12	Q86Y82	Syntaxin-12	31.6	276	673	6	Endosome	Very High	83.5		4%	96%	Mostly Organellar	115,130	55.6	71.2	11.3
STX7	O15400	Syntaxin-7	29.8	261	837	6	Endosome	Very High	61.9		5%	95%	Mostly Organellar	216,373	65.3	133.9	20.1
STX8	Q9UNK0	Syntaxin-8	26.9	236	307	6	Endosome	Very High	64		0%	100%	Mostly Organellar	70,810	47.1	43.8	5.9
SYNGR2	O43760	Synaptogyrin-2	24.8	224	575	6	Endosome	Very High	93.1		40%	60%	Organellar and Cytosolic	405,226	75.0	250.7	31.3
TAX1BP1	Q86VP1	Tax1-binding protein 1	90.9	789	296	6	Endosome	Very High	61.2		84%	16%	Organellar and Cytosolic	44,436	39.4	27.5	12.6
TBC1D5	Q92609	TBC1 domain family member 5	89.0	795	810	6	Endosome	Very High	70		12%	88%	Mostly Organellar	30,032	33.7	18.6	8.3
TFRC	P02786	Transferrin receptor protein 1	84.9	760	9921	6	Endosome	Very High	70.1		7%	93%	Mostly Organellar	5,318,904	96.5	3290.4	1403.4
TGFBRAP1	Q8WUH2	Transforming growth factor-beta receptor-associated protein 1	97.2	860	253	6	Endosome	Very High	80.3		73%	27%	Organellar and Cytosolic	21,482	28.6	13.3	6.5
TMEM206	Q9H813	Transmembrane protein 206	40.0	350	292	6	Endosome	Very High	93.1		0%	100%	Mostly Organellar	24,020	30.3	14.9	3.0
TMEM50A	O95807	Transmembrane protein 50A	17.4	157	176	6	Endosome	Very High	65.5		2%	98%	Mostly Organellar	25,741	31.1	15.9	1.4
TMEM63A	O94886	CSC1-like protein 1	92.1	807	246	6	Endosome	Very High	78.7		0%	100%	Mostly Organellar	9,870	18.7	6.1	2.8
TPBG	Q13641	Trophoblast glycoprotein	46.0	420	205	6	Endosome	Very High	59.2		4%	96%	Mostly Organellar	33,602	35.3	20.8	4.8
TPCN1	Q9ULQ1	Two pore calcium channel protein 1	94.1	816	301	6	Endosome	Very High	99		0%	100%	Mostly Organellar	10,792	19.8	6.7	3.2
TRIM56	Q9BRZ2	E3 ubiquitin-protein ligase TRIM56	81.5	755	677	6	Endosome	Very High	91.3		54%	46%	Organellar and Cytosolic	79,763	49.3	49.3	20.2
UVRAG	Q9P2Y5	UV radiation resistance-associated gene protein	78.2	699	234	6	Endosome	Very High	82.3		71%	29%	Organellar and Cytosolic	30,253	33.8	18.7	7.4
VAC14	Q08AM6	Protein VAC14 homolog	88.0	782	1293	6	Endosome	Very High	79.7		52%	48%	Organellar and Cytosolic	121,854	56.4	75.4	33.3
VAMP8	Q9BV40	Vesicle-associated membrane protein 8	11.4	100	1080	6	Endosome	Very High	55.6		5%	95%	Mostly Organellar	1,854,729	91.0	1147.4	66.0
VPS11	Q9H270	Vacuolar protein sorting-associated protein 11 homolog	107.8	941	1031	6	Endosome	Very High	95.8		36%	64%	Organellar and Cytosolic	63,505	45.3	39.3	21.3
VPS16	Q9H269	Vacuolar protein sorting-associated protein 16 homolog	94.7	839	815	6	Endosome	Very High	92.4		52%	48%	Organellar and Cytosolic	75,375	48.4	46.6	22.2
VPS18	Q9P253	Vacuolar protein sorting-associated protein 18 homolog	110.2	973	695	6	Endosome	Very High	89.8		47%	53%	Organellar and Cytosolic	50,901	41.7	31.5	17.4
VPS26A	O75436	Vacuolar protein sorting-associated protein 26A	38.2	327	1998	6	Endosome	Very High	82.3		69%	31%	Organellar and Cytosolic	2,503,520	92.9	1548.7	297.1
VPS29	Q9UBQ0	Vacuolar protein sorting-associated protein 29	20.5	182	1081	6	Endosome	Very High	80.8		68%	32%	Organellar and Cytosolic	3,032,390	94.1	1875.9	193.3
VPS33A	Q96AX1	Vacuolar protein sorting-associated protein 33A	67.6	596	801	6	Endosome	Very High	95.3		58%	42%	Organellar and Cytosolic	108,162	54.7	66.9	22.7
VPS35	Q96QK1	Vacuolar protein sorting-associated protein 35	91.7	796	4035	6	Endosome	Very High	75.8		67%	33%	Organellar and Cytosolic	2,135,818	92.0	1321.3	608.9
VPS39	Q96JC1	Vam6/Vps39-like protein	101.8	886	1044	6	Endosome	Very High	91.3		0%	100%	Mostly Organellar	33,647	35.3	20.8	10.6
VPS41	P49754	Vacuolar protein sorting-associated protein 41 homolog	98.6	854	746	6	Endosome	Very High	75.9		20%	80%	Organellar and Cytosolic	25,365	31.0	15.7	7.8
VPS8	Q8N3P4	Vacuolar protein sorting-associated protein 8 homolog	161.8	1428	317	4	Endosome	Very High	56.3		76%	24%	Organellar and Cytosolic	20,288	27.7	12.6	10.2
VTI1B	Q9UEU0	Vesicle transport through interaction with t-SNAREs homolog 1B	26.7	232	657	6	Endosome	Very High	84.2		1%	99%	Mostly Organellar	165,015	61.1	102.1	13.7
WDFY1	Q8IWB7	WD repeat and FYVE domain-containing protein 1	46.3	410	1199	6	Endosome	Very High	85.1		20%	80%	Organellar and Cytosolic	200,978	64.1	124.3	28.9
ZC3HAV1	Q7Z2W4	Zinc finger CCCH-type antiviral protein 1	101.4	902	5634	6	Endosome	Very High	93.8		24%	76%	Organellar and Cytosolic	952,995	85.3	589.5	300.5
ZFYVE21	Q9BQ24-2	Zinc finger FYVE domain-containing protein 21	28.5	252	241	5	Endosome	Very High	65.8		2%	98%	Mostly Organellar	25,520	31.0	15.8	2.3
ABHD17B	Q5VST6	Alpha/beta hydrolase domain-containing protein 17B	32.2	288	272	6	Endosome	High	42.2		0%	100%	Mostly Organellar	27,462	32.2	17.0	2.8
ALDH16A1	Q8IZ83	Aldehyde dehydrogenase family 16 member A1	85.1	802	688	6	Endosome	High	43.4		82%	18%	Organellar and Cytosolic	258,587	68.2	160.0	68.4
AP1AR	Q63HQ0	AP-1 complex-associated regulatory protein	34.3	302	87	3	Endosome	High	49.4		0%	100%	Mostly Organellar	11,475	20.5	7.1	1.2
APLP2	Q06481	Amyloid-like protein 2	87.0	763	1484	6	Endosome	High	44.5		0%	100%	Mostly Organellar	95,885	52.4	59.3	25.9
C18orf8	Q96DM3	Uncharacterized protein C18orf8	75.0	657	618	6	Endosome	High	16.1		0%	100%	Mostly Organellar	24,035	30.3	14.9	5.6
CCDC53	Q9Y3C0	WASH complex subunit CCDC53	21.2	194	136	3	Endosome	High	51.2		79%	21%	Organellar and Cytosolic	118,347	56.0	73.2	7.8
CCZ1	P86791	Vacuolar fusion protein CCZ1 homolog	55.9	482	734	6	Endosome	High	44.2		46%	54%	Organellar and Cytosolic	117,850	56.0	72.9	20.5
CHMP1A	Q9HD42	Charged multivesicular body protein 1a	21.7	196	474	6	Endosome	High	17.2		51%	49%	Organellar and Cytosolic	598,726	80.1	370.4	40.4
DENND6A	Q8IWF6	Protein DENND6A	69.6	608	107	4	Endosome	High	42.4		17%	83%	Organellar and Cytosolic	7,940	16.1	4.9	1.7
DERA	Q9Y315	Deoxyribose-phosphate aldolase	35.2	318	941	6	Endosome	High	45.3		81%	19%	Organellar and Cytosolic	471,284	76.9	291.5	51.6
FTH1	P02794	Ferritin heavy chain	21.2	183	560	6	Endosome	High	51.1		83%	17%	Organellar and Cytosolic	659,589	81.2	408.0	43.5
GDAP2	Q9NXN4	Ganglioside-induced differentiation-associated protein 2	56.2	497	476	6	Endosome	High	23		61%	39%	Organellar and Cytosolic	47,540	40.6	29.4	8.3
HPS3	Q969F9	Hermansky-Pudlak syndrome 3 protein	113.7	1004	467	6	Endosome	High	27.1		80%	20%	Broad distribution	71,029	47.2	43.9	25.1
KXD1	Q9BQD3	KxDL motif-containing protein 1	19.7	176	138	3	Endosome	High	28.5		32%	68%	Organellar and Cytosolic	28,986	33.1	17.9	1.8
LDLR	P01130	Low-density lipoprotein receptor	95.4	860	2384	6	Endosome	High	49.1		3%	97%	Mostly Organellar	208,090	64.8	128.7	61.7
LEPROTL1	O95214	Leptin receptor overlapping transcript-like 1	14.4	131	97	4	Endosome	High	48.5		2%	98%	Mostly Organellar	31,983	34.5	19.8	1.4
LGR4	Q9BXB1	Leucine-rich repeat-containing G-protein coupled receptor 4	104.5	951	154	5	Endosome	High	49.2		0%	100%	Mostly Organellar	6,835	14.6	4.2	2.2
LMBRD1	Q9NUN5-3	Probable lysosomal cobalamin transporter	53.4	467	213	5	Endosome	High	48.7		3%	97%	Mostly Organellar	38,182	37.3	23.6	6.3
LMBRD2	Q68DH5	LMBR1 domain-containing protein 2	81.2	695	220	6	Endosome	High	46		1%	99%	Mostly Organellar	10,200	19.0	6.3	2.6
LRP1	Q07954	Prolow-density lipoprotein receptor-related protein 1	504.6	4544	1610	6	Endosome	High	46		2%	98%	Mostly Organellar	13,105	22.0	8.1	20.6
LRP8	Q14114	Low-density lipoprotein receptor-related protein 8	105.6	963	690	6	Endosome	High	21		0%	100%	Mostly Organellar	30,112	33.7	18.6	9.9
MITD1	Q8WV92	MIT domain-containing protein 1	29.3	249	129	2	Endosome	High	31.1		1%	99%	Mostly Organellar	24,000	30.3	14.8	2.2
MYOF	Q9NZM1-3	Myoferlin	233.3	2050	170	5	Endosome	High	43.6		0%	100%	Mostly Organellar	4,206	10.2	2.6	3.1
MYOF	Q9NZM1	Myoferlin	234.7	2061	14395	6	Endosome	High	31.2		7%	93%	Mostly Organellar	985,205	85.7	609.5	718.9
PI4K2A	Q9BTU6	Phosphatidylinositol 4-kinase type 2-alpha	54.0	479	1103	6	Endosome	High	21.9		5%	95%	Mostly Organellar	104,764	54.1	64.8	17.6
PTPN9	P43378	Tyrosine-protein phosphatase non-receptor type 9	68.0	593	439	6	Endosome	High	21		25%	75%	Organellar and Cytosolic	26,237	31.5	16.2	5.5
SCAMP2	O15127	Secretory carrier-associated membrane protein 2	36.6	329	422	6	Endosome	High	21.7		3%	97%	Mostly Organellar	87,119	50.8	53.9	9.9
SCAMP3	O14828	Secretory carrier-associated membrane protein 3	38.3	347	1836	6	Endosome	High	50.9		35%	65%	Organellar and Cytosolic	835,709	84.1	517.0	99.5
SCYL2	Q6P3W7	SCY1-like protein 2	103.7	929	1155	6	Endosome	High	50.6		20%	80%	Organellar and Cytosolic	61,391	44.7	38.0	19.8
SEMA4C	Q9C0C4	Semaphorin-4C	92.6	833	80	5	Endosome	High	37.3		0%	100%	Mostly Organellar	3,001	7.4	1.9	0.9
SLC12A6	Q9UHW9-2	Solute carrier family 12 member 6	122.1	1099	695	6	Endosome	High	19.6		0%	100%	Mostly Organellar	28,369	32.7	17.5	10.8
SLC35F2	Q8IXU6	Solute carrier family 35 member F2	41.2	374	252	6	Endosome	High	42.4		0%	100%	Mostly Organellar	44,741	39.7	27.7	5.7
SMOC1	Q9H4F8	SPARC-related modular calcium-binding protein 1	48.2	434	882	6	Endosome	High	16.2		70%	30%	Organellar and Cytosolic	251,908	67.9	155.8	37.7
SNX6	Q9UNH7	Sorting nexin-6	46.6	406	1452	6	Endosome	High	20.6		72%	28%	Organellar and Cytosolic	728,590	82.6	450.7	105.7
SORCS2	Q96PQ0	VPS10 domain-containing receptor SorCS2	128.2	1159	617	6	Endosome	High	47.5		0%	100%	Mostly Organellar	18,290	26.3	11.3	7.3
SPPL2A	Q8TCT8	Signal peptide peptidase-like 2A	58.1	520	252	6	Endosome	High	17.2		0%	100%	Mostly Organellar	33,747	35.4	20.9	6.1
STUB1	Q9UNE7	E3 ubiquitin-protein ligase CHIP	34.9	303	1069	6	Endosome	High	16.8		88%	12%	Mostly Cytosolic	1,369,622	88.5	847.3	148.4
TMEM63B	Q5T3F8	CSC1-like protein 2	95.0	832	300	6	Endosome	High	17.2		0%	100%	Mostly Organellar	13,687	22.5	8.5	4.0
TOLLIP	Q9H0E2	Toll-interacting protein	30.3	274	153	4	Endosome	High	21.3		80%	20%	Organellar and Cytosolic	76,944	48.7	47.6	7.2
TRMT6	Q9UJA5	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	55.8	497	705	6	Endosome	High	39.6		57%	43%	Organellar and Cytosolic	236,179	66.9	146.1	41.0
VLDLR	P98155-2	Very low-density lipoprotein receptor	93.4	845	1771	6	Endosome	High	51.7		3%	97%	Mostly Organellar	87,996	51.1	54.4	25.5
VPS26B	Q4G0F5	Vacuolar protein sorting-associated protein 26B	39.2	336	1191	6	Endosome	High	21.5		53%	47%	Organellar and Cytosolic	426,044	75.6	263.6	51.9
VPS45	Q9NRW7	Vacuolar protein sorting-associated protein 45	65.1	570	1269	6	Endosome	High	45.2		17%	83%	Organellar and Cytosolic	146,813	59.2	90.8	29.7
WASH3P	C4AMC7	Putative WAS protein family homolog 3	50.0	463	200	3	Endosome	High	20.3		86%	14%	Mostly Cytosolic	74,239	48.0	45.9	11.5
ACTR10	Q9NZ32	Actin-related protein 10	46.3	417	323	6	Endosome	Medium	11.1		88%	12%	Mostly Cytosolic	135,464	58.0	83.8	19.5
ARPIN	Q7Z6K5-2	Arpin	43.9	394	519	6	Endosome	Medium	6.3		84%	16%	Broad distribution	244,087	67.4	151.0	33.3
ATG9A	Q7Z3C6	Autophagy-related protein 9A	94.4	839	782	6	Endosome	Medium	4.9		41%	59%	Organellar and Cytosolic	52,593	42.2	32.5	15.4
ATP11B	Q9Y2G3	Probable phospholipid-transporting ATPase IF	134.2	1177	85	2	Endosome	Medium	9		0%	100%	Mostly Organellar	3,172	7.8	2.0	1.3
ATP6V0A2	Q9Y487	V-type proton ATPase 116 kDa subunit a isoform 2	98.1	856	661	6	Endosome	Medium	6.6		0%	100%	Mostly Organellar	26,764	31.8	16.6	8.2
ATP6V1F	Q16864	V-type proton ATPase subunit F	13.4	119	171	3	Endosome	Medium	8.1		66%	34%	Organellar and Cytosolic	215,504	65.3	133.3	9.0
ATP6V1G1	O75348	V-type proton ATPase subunit G 1	13.8	118	251	5	Endosome	Medium	11.4		76%	24%	Organellar and Cytosolic	626,884	80.7	387.8	26.8
BAIAP2L1	Q9UHR4	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1	56.9	511	2757	6	Endosome	Medium	5.4		3%	97%	Mostly Organellar	625,115	80.6	386.7	110.5
BICD1	Q96G01	Protein bicaudal D homolog 1	110.8	975	64	3	Endosome	Medium	5.6		44%	56%	Organellar and Cytosolic	3,113	7.6	1.9	1.1
BLOC1S5	Q8TDH9	Biogenesis of lysosome-related organelles complex 1 subunit 5	21.6	187	203	5	Endosome	Medium	4.4		71%	29%	Organellar and Cytosolic	132,097	57.6	81.7	8.9
BST2	Q10589	Bone marrow stromal antigen 2	19.8	180	582	6	Endosome	Medium	10.5		9%	91%	Mostly Organellar	900,964	84.8	557.4	55.4
CCDC93	Q567U6	Coiled-coil domain-containing protein 93	73.2	631	204	3	Endosome	Medium	14.3		97%	3%	Mostly Cytosolic	146,806	59.2	90.8	33.4
CCNB1	P14635	G2/mitotic-specific cyclin-B1	48.3	433	871	6	Endosome	Medium	5.6		26%	74%	Broad distribution	155,123	60.1	96.0	23.3
CD320	Q9NPF0	CD320 antigen	29.0	282	394	6	Endosome	Medium	5.9		0%	100%	Mostly Organellar	94,115	52.0	58.2	8.5
CLTCL1	P53675	Clathrin heavy chain 2	187.0	1640	585	6	Endosome	Medium	4.3		64%	36%	Organellar and Cytosolic	29,357	33.3	18.2	17.1
COL5A1	P20908	Collagen alpha-1(V) chain	183.6	1838	794	6	Endosome	Medium	7.5		22%	78%	Organellar and Cytosolic	31,881	34.5	19.7	18.2
DCTN4	Q9UJW0	Dynactin subunit 4	52.3	460	774	6	Endosome	Medium	10		80%	20%	Broad distribution	261,422	68.4	161.7	42.5
